cycle_id,mode,actuator,total_latency_ns,processing_time_ns,lock_wait_ns,deadline_met,lateness_ns
118,baseline,Stabilizer,136200,300,1900,true,0
118,baseline,Motor,136500,200,1400,true,0
118,baseline,Gripper,227700,100,1700,true,0
119,baseline,,1190350900,350900,100,false,150900
119,baseline,Stabilizer,223500,29200,2000,true,0
119,baseline,Gripper,291600,34100,7500,true,0
119,baseline,Motor,352800,29100,9800,true,0
120,baseline,,1200479600,479600,100,false,279600
120,baseline,Stabilizer,230700,200,2400,true,0
120,baseline,Motor,237200,300,2900,true,0
120,baseline,Gripper,282200,100,2000,true,0
121,baseline,Gripper,46400,400,2400,true,0
121,baseline,,1210513200,513200,100,false,313200
121,baseline,Motor,102300,200,900,true,0
121,baseline,Stabilizer,105800,200,2000,true,0
122,baseline,,1220656500,656500,100,false,456500
122,baseline,Stabilizer,204800,200,1900,true,0
122,baseline,Gripper,320000,100,1700,true,0
122,baseline,Motor,323700,200,2300,true,0
123,baseline,,1230356000,356000,100,false,156000
123,baseline,Gripper,398500,400,3600,true,0
123,baseline,Stabilizer,414400,100,800,true,0
123,baseline,Motor,593700,300,2900,true,0
124,baseline,,1240632500,632500,0,false,432500
124,baseline,Stabilizer,150900,100,1800,true,0
124,baseline,Gripper,274400,100,1600,true,0
124,baseline,Motor,343900,2500,11900,true,0
125,baseline,,1250434800,434800,0,false,234800
125,baseline,Stabilizer,152000,400,1900,true,0
125,baseline,Motor,153700,200,2800,true,0
125,baseline,Gripper,260500,300,1900,true,0
126,baseline,,1260181000,181000,0,true,0
126,baseline,Gripper,167000,200,2100,true,0
126,baseline,Stabilizer,271800,100,1700,true,0
126,baseline,Motor,275300,200,2600,true,0
127,baseline,,1270357600,357600,100,false,157600
127,baseline,Gripper,59900,300,3700,true,0
127,baseline,Motor,70700,100,1300,true,0
127,baseline,Stabilizer,96100,300,2700,true,0
128,baseline,,1280799700,799700,100,false,599700
128,baseline,Gripper,205700,400,2200,true,0
128,baseline,Motor,209900,400,4300,true,0
128,baseline,Stabilizer,223700,100,800,true,0
129,baseline,,1290679100,679100,100,false,479100
129,baseline,Stabilizer,145100,200,1900,true,0
129,baseline,Gripper,302600,200,3700,true,0
129,baseline,Motor,347400,200,5500,true,0
130,baseline,,1300800900,800900,0,false,600900
130,baseline,Stabilizer,156800,200,2000,true,0
130,baseline,Gripper,254800,100,1400,true,0
130,baseline,Motor,326700,200,1600,true,0
131,baseline,,1310560300,560300,300,false,360300
131,baseline,Gripper,395000,300,1800,true,0
131,baseline,Stabilizer,404100,100,500,true,0
131,baseline,Motor,438400,200,1900,true,0
132,baseline,,1320728900,728900,100,false,528900
132,baseline,Gripper,100100,200,1700,true,0
132,baseline,Motor,103400,100,2100,true,0
132,baseline,Stabilizer,111700,0,400,true,0
133,baseline,,1330242400,242400,300,false,42400
133,baseline,Motor,170800,300,2500,true,0
133,baseline,Stabilizer,181900,100,1100,true,0
133,baseline,Gripper,190400,0,900,true,0
134,baseline,,1340349400,349400,0,false,149400
134,baseline,Gripper,178600,200,5000,true,0
134,baseline,Motor,183200,200,6300,true,0
134,baseline,Stabilizer,193700,100,600,true,0
135,baseline,,1350201500,201500,0,false,1500
